coding_score,aptitude_score,interview_score,resume_score,projects_count,skills_count,readiness
96,26,69,35,0,2,0
31,78,53,47,9,7,0
44,37,36,84,9,7,0
79,75,84,56,4,16,1
69,80,91,97,7,17,1
28,89,22,20,0,10,0
32,78,95,78,0,17,1
64,47,76,85,2,8,0
71,81,28,94,6,7,1
37,87,81,32,1,15,1
38,49,28,99,0,12,1
34,34,24,51,6,9,1
67,92,29,48,7,8,0
25,36,57,48,7,12,0
68,70,70,71,7,13,1
61,42,52,73,8,9,0
60,34,29,58,6,1,0
76,84,36,25,5,2,0
64,35,89,99,8,3,1
80,75,97,37,3,8,1
83,77,81,27,0,11,1
94,29,28,68,7,14,1
85,38,86,53,2,4,0
64,85,76,69,9,14,1
62,63,62,90,4,12,1
42,34,31,27,8,1,0
70,100,100,43,0,6,1
35,45,55,61,6,6,0
95,25,23,83,4,16,1
89,95,37,68,4,16,0
34,26,52,51,2,14,1
84,67,25,69,9,9,1
33,100,46,99,3,9,1
79,68,57,58,8,6,0
31,69,96,91,4,14,1
62,54,26,83,0,2,0
74,34,66,44,8,5,1
80,68,94,40,1,3,1
56,93,85,82,2,9,0
95,31,94,36,8,6,1
83,91,33,47,8,4,0
40,56,84,39,9,7,1
76,65,99,69,4,15,1
80,37,46,43,7,10,0
50,72,60,73,3,14,1
81,38,62,95,7,16,1
93,45,59,87,5,16,1
87,79,43,96,0,6,0
82,28,98,21,4,15,1
73,58,97,56,4,16,1
45,70,50,37,2,17,1
85,35,85,94,3,6,1
52,47,52,77,5,4,0
65,51,84,45,0,10,1
48,75,67,65,1,16,1
48,99,58,69,7,16,1
36,88,30,60,3,10,0
98,39,73,58,6,3,1
36,26,46,24,5,8,0
31,28,37,56,5,13,0
96,70,35,48,4,10,1
67,36,99,86,4,6,1
58,42,28,90,8,6,0
81,89,84,80,9,2,1
54,91,90,22,2,5,0
34,88,22,88,6,12,1
80,44,67,52,9,5,1
38,72,66,53,0,17,1
67,71,49,96,7,2,1
97,39,74,90,4,11,1
96,67,53,24,9,9,1
52,64,55,49,5,15,1
84,55,54,80,8,16,1
71,82,84,63,1,10,1
61,76,71,40,1,11,1
35,65,50,62,9,12,1
53,80,95,90,5,9,1
74,82,84,38,5,4,1
99,68,95,80,1,8,1
25,45,79,79,2,5,0
79,82,51,91,8,8,1
89,79,82,44,3,11,1
97,99,46,37,5,4,1
57,36,41,64,3,5,1
34,56,56,63,2,14,0
45,95,98,53,1,7,1
89,64,66,83,9,4,1
91,96,51,84,9,13,1
73,25,57,39,1,13,0
34,27,43,84,3,15,0
34,85,73,38,5,13,1
61,52,48,53,3,17,1
69,64,64,22,7,10,1
27,57,49,47,2,5,0
77,56,45,97,0,15,1
66,96,98,55,3,5,1
25,32,48,77,5,5,0
32,83,25,28,1,15,1
59,92,50,71,8,15,1
79,74,63,50,0,6,0
87,55,27,80,0,13,1
57,37,44,95,5,16,1
47,76,33,63,5,14,1
98,60,60,28,2,1,0
59,36,78,58,2,12,1
48,52,98,29,0,3,0
58,98,51,56,6,15,1
25,45,89,24,3,2,0
47,38,37,71,1,17,1
64,76,83,45,3,4,1
94,40,65,36,9,8,1
81,94,81,21,2,4,1
84,90,81,91,8,14,1
66,99,63,87,2,7,1
33,94,40,85,1,13,1
54,43,62,24,2,2,1
100,41,86,48,3,8,0
28,51,98,98,1,16,1
91,60,95,66,5,16,1
77,91,34,30,3,4,1
46,80,68,31,7,7,1
84,73,28,41,4,7,1
88,91,74,98,4,10,1
28,74,100,33,4,10,1
33,53,24,93,1,2,0
75,56,73,74,7,13,1
100,64,96,94,1,4,0
26,31,88,86,7,6,0
75,81,51,46,9,15,1
35,74,28,87,7,12,1
74,80,94,33,4,7,1
72,65,94,43,3,16,1
31,84,66,37,8,7,1
76,97,99,30,2,10,1
93,68,20,27,4,5,0
90,58,69,35,7,4,1
27,32,23,29,9,9,0
43,84,95,50,9,10,1
43,93,75,25,0,14,0
59,78,93,24,8,7,1
35,90,65,100,1,16,1
89,90,26,27,5,11,1
84,85,22,25,9,2,0
86,63,47,22,6,13,1
40,32,80,30,9,10,0
26,25,32,62,3,7,0
94,40,89,87,3,8,1
46,57,39,79,3,6,1
74,81,60,66,3,11,1
94,59,36,26,6,10,1
27,26,57,82,4,8,1
25,40,56,23,7,5,1
25,99,20,71,4,7,0
36,100,65,53,3,9,1
28,53,83,91,1,9,0
87,86,95,44,5,6,1
71,79,46,71,8,10,1
99,95,91,55,8,4,1
85,92,91,62,2,9,1
98,72,100,96,4,3,1
43,54,50,77,7,9,1
46,72,88,53,6,14,1
89,49,65,56,0,14,1
43,51,24,77,5,12,0
29,71,41,48,0,13,1
75,68,74,33,1,2,0
85,69,33,57,6,6,0
98,54,55,25,1,12,1
95,56,82,33,3,14,1
34,25,32,54,5,10,1
83,70,60,84,6,15,1
89,68,37,83,4,5,1
78,96,63,41,0,3,0
87,63,39,54,7,2,1
88,60,98,32,9,10,1
58,30,26,81,8,12,1
28,39,98,39,7,5,0
59,50,84,84,4,14,1
40,53,89,88,8,13,1
33,52,88,75,4,7,0
34,54,35,46,1,5,0
78,83,95,97,8,13,1
63,34,68,75,3,12,0
66,50,97,72,9,3,1
81,37,91,89,3,5,1
66,48,66,91,8,9,1
72,77,50,26,5,9,1
31,28,29,91,4,3,0
89,50,28,81,2,17,1
59,26,51,36,8,7,1
36,97,85,44,0,7,0
86,80,60,80,4,2,0
80,43,59,37,3,15,0
29,40,39,56,5,4,0
39,32,65,75,2,17,1
26,60,71,72,6,9,0
45,82,99,93,3,15,1
32,69,79,29,1,4,0
78,91,69,43,1,3,1
64,51,93,99,6,14,1
99,46,54,66,2,14,1
81,61,95,40,3,10,1
71,40,49,43,6,1,1
63,99,30,47,3,17,1
29,39,53,64,3,7,0
30,61,30,43,2,16,0
71,64,29,70,3,15,1
